StatisticalTable,6.2.Trade of Bonds,6.2.Trade of Bonds,6.2.Trade of Bonds,6.2.Trade of Bonds,6.2.Trade of Bonds,6.2.Trade of Bonds
ItemNames1,Listed Amount,Listed Amount,Trading Volume,Trading Volume,Trading Value,Trading Value
ItemNames2,  Public Bonds,  Corporate Bonds,  Public Bonds,  Corporate Bonds,  Public Bonds,  Corporate Bonds
Unit,Mil.Won,Mil.Won,Mil.Won,Mil.Won,Mil.Won,Mil.Won
Conversion,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data
2007/01,"597,118,209","186,342,899","24,785,502","104,354","24,648,767","119,402"
2007/02,"609,030,689","187,864,920","27,472,497","85,967","27,584,432","100,331"
2007/03,"611,780,545","190,058,032","31,334,633","101,046","31,367,223","111,694"
2007/04,"613,568,721","194,314,990","28,807,520","127,989","28,719,225","153,519"
2007/05,"614,771,956","195,501,649","25,757,887","146,047","25,569,173","178,218"
2007/06,"624,263,162","196,593,937","35,727,579","208,783","35,047,291","241,111"
2007/07,"620,812,837","195,704,221","28,468,726","143,499","27,980,654","170,355"
2007/08,"626,879,891","198,781,311","30,863,815","130,926","30,589,393","137,193"
2007/09,"620,324,227","199,395,611","25,841,725","152,099","25,202,357","153,973"
2007/10,"624,063,734","203,304,756","35,758,273","494,040","34,610,398","507,232"
2007/11,"620,686,426","206,150,894","39,109,821","626,730","38,520,612","706,492"
2007/12,"621,830,393","208,837,821","18,905,190","673,586","18,288,635","687,365"
2008/01,"620,570,319","211,301,352","36,973,668","446,829","36,635,479","456,624"
2008/02,"628,994,437","213,557,176","33,601,453","173,938","33,741,395","179,643"
2008/03,"628,326,677","214,154,298","36,256,560","279,625","36,219,119","285,445"
2008/04,"633,762,907","217,328,363","31,996,532","340,412","32,104,400","366,672"
2008/05,"642,747,047","220,337,170","35,054,366","242,328","35,245,570","255,078"
2008/06,"641,781,756","218,854,801","34,143,506","198,715","33,587,742","212,273"
2008/07,"635,081,629","221,068,249","33,501,592","263,699","32,160,613","289,118"
2008/08,"643,228,311","222,846,884","27,534,763","187,016","26,509,911","200,505"
2008/09,"629,028,921","223,283,520","25,745,671","384,502","24,913,432","396,832"
2008/10,"622,491,685","223,963,235","19,656,898","250,960","19,568,249","250,813"
2008/11,"626,919,786","225,686,868","25,660,976","178,677","25,835,906","176,591"
2008/12,"636,725,784","228,862,470","33,143,021","157,336","34,258,108","157,207"
2009/01,"647,236,132","234,180,764","33,793,423","273,480","35,597,537","274,195"
2009/02,"670,848,112","239,166,360","40,937,689","314,520","42,652,020","313,247"
2009/03,"681,385,075","242,340,918","51,926,891","360,122","53,826,308","352,304"
2009/04,"701,531,230","247,177,716","43,401,035","445,703","44,578,249","434,693"
2009/05,"712,680,019","253,590,576","33,061,969","321,264","33,824,730","317,036"
2009/06,"725,221,954","255,244,845","51,225,775","570,151","51,985,215","533,921"
2009/07,"731,221,514","256,943,417","41,273,855","473,936","41,557,426","457,853"
2009/08,"736,577,030","257,333,118","43,285,494","451,772","43,055,582","454,062"
2009/09,"749,357,461","259,795,789","47,541,325","383,600","46,831,600","387,554"
2009/10,"752,207,839","261,041,639","41,059,566","425,441","40,134,328","425,099"
2009/11,"758,882,063","263,335,839","47,016,455","330,802","46,346,521","331,110"
2009/12,"750,342,072","264,136,439","25,099,771","408,354","25,117,249","406,412"
2010/01,"763,041,221","262,620,753","23,646,842","647,926","23,334,924","662,539"
2010/02,"775,904,333","263,075,110","31,452,834","302,230","30,347,726","305,587"
2010/03,"796,864,862","262,965,973","39,182,154","571,444","38,830,114","585,557"
2010/04,"805,428,036","263,206,719","40,326,263","443,682","40,367,576","466,325"
2010/05,"815,619,795","264,142,278","39,073,121","398,050","38,848,567","410,333"
2010/06,"818,001,022","265,947,342","48,876,580","255,475","47,657,824","257,354"
2010/07,"820,522,507","268,028,683","33,348,029","340,454","33,356,598","346,161"
2010/08,"829,570,878","267,210,581","52,535,938","338,530","52,484,769","343,221"
2010/09,"841,329,645","266,919,529","93,409,147","461,590","92,710,000","465,461"
2010/10,"844,462,970","268,520,028","67,702,617","351,468","69,561,776","357,321"
2010/11,"848,931,013","270,401,082","57,258,645","406,108","59,042,796","410,924"
2010/12,"846,480,262","270,497,986","52,503,631","435,295","53,609,511","443,092"
2011/01,"845,424,258","272,384,849","53,013,717","606,301","52,938,776","629,750"
2011/02,"855,914,529","276,085,456","44,164,034","326,873","43,918,808","337,993"
2011/03,"867,806,251","274,990,258","59,941,616","491,431","60,039,252","503,818"
2011/04,"871,278,769","278,275,949","51,013,544","548,985","51,204,703","549,304"
2011/05,"879,166,908","280,530,369","65,768,293","542,872","66,567,394","543,469"
2011/06,"881,886,978","283,581,531","79,150,505","548,097","79,914,583","551,380"
2011/07,"883,969,897","286,232,464","78,944,112","543,406","79,485,006","548,060"
2011/08,"884,181,737","289,607,757","82,505,721","603,754","84,220,847","618,233"
2011/09,"887,889,941","292,202,358","79,739,028","418,512","81,842,922","423,920"
2011/10,"893,105,025","296,922,910","66,036,928","523,619","67,191,820","526,714"
2011/11,"900,688,643","301,138,467","85,209,680","652,452","86,966,378","654,233"
2011/12,"900,893,862","301,821,488","63,347,950","510,481","64,142,942","506,486"
2012/01,"906,008,262","300,432,268","66,279,751","710,421","67,060,277","704,416"
2012/02,"913,714,904","302,667,770","98,979,723","722,305","100,190,232","741,319"
2012/03,"927,273,705","305,870,649","122,303,654","955,706","122,624,849","959,657"
2012/04,"937,363,005","304,919,622","91,202,147","646,429","91,702,461","648,787"
2012/05,"948,728,266","304,398,898","113,966,152","463,755","115,507,290","470,914"
2012/06,"942,650,503","307,469,830","123,527,001","791,932","125,325,784","802,295"
2012/07,"940,418,979","313,801,650","145,112,798","692,009","149,470,178","698,889"
2012/08,"939,327,014","316,250,417","151,707,840","557,886","157,780,725","550,806"
2012/09,"940,822,458","322,513,086","136,210,691","465,876","139,586,981","450,485"
2012/10,"945,606,760","326,729,106","108,756,584","395,201","111,082,454","391,258"
2012/11,"955,118,246","328,890,276","99,630,046","418,648","101,589,340","414,754"
2012/12,"960,928,890","331,542,933","86,379,540","404,810","87,197,361","413,448"
2013/01,"973,359,230","330,650,488","123,300,816","573,916","125,643,782","573,442"
2013/02,"986,441,922","335,614,101","100,432,562","422,222","102,742,245","419,607"
2013/03,"995,533,885","336,440,288","106,583,068","481,596","109,068,250","489,703"
2013/04,"1,005,036,921","339,815,701","112,636,956","335,381","114,921,224","325,444"
2013/05,"1,010,437,443","339,560,194","119,772,665","531,677","121,731,607","520,257"
2013/06,"1,017,244,929","340,330,236","106,112,310","583,018","105,719,157","565,420"
2013/07,"1,026,322,484","339,269,201","104,348,641","542,626","103,348,584","528,144"
2013/08,"1,033,918,941","336,554,517","108,951,156","704,174","107,822,674","691,568"
2013/09,"1,030,065,278","338,905,654","93,026,505","552,686","92,544,780","530,964"
2013/10,"1,036,080,740","341,574,294","103,381,743","885,785","104,073,911","808,636"
2013/11,"1,045,846,021","345,354,335","123,173,024","523,006","123,520,997","505,285"
2013/12,"1,050,351,276","345,765,261","104,286,320","684,813","104,220,854","672,418"
2014/01,"1,057,294,249","348,210,462","91,614,888","447,012","91,852,697","442,893"
2014/02,"1,067,886,070","346,733,687","89,905,726","286,373","90,774,922","278,079"
2014/03,"1,073,343,605","344,462,075","92,138,730","360,087","92,100,311","362,361"
2014/04,"1,077,709,012","346,000,315","96,197,369","402,678","96,213,836","406,111"
2014/05,"1,084,097,151","346,317,202","104,245,258","411,157","105,163,569","414,118"
2014/06,"1,090,844,431","343,511,432","129,700,856","374,819","131,529,169","373,039"
2014/07,"1,102,249,037","345,489,617","137,497,963","323,335","140,951,477","321,438"
2014/08,"1,105,254,956","343,745,345","118,175,903","253,855","121,422,815","253,360"
2014/09,"1,096,048,822","344,341,274","117,647,170","446,316","119,461,221","443,012"
2014/10,"1,098,347,474","347,590,739","136,984,012","336,598","139,848,429","339,450"
2014/11,"1,108,019,640","349,636,496","136,482,493","891,610","140,158,536","904,537"
2014/12,"1,108,743,839","349,266,948","117,650,670","439,029","120,434,374","443,347"
2015/01,"1,117,298,763","350,378,609","146,249,992","297,306","151,470,599","294,749"
2015/02,"1,129,055,245","348,479,328","123,541,043","325,573","128,389,173","330,891"
2015/03,"1,145,951,904","349,406,950","167,875,922","384,205","172,499,944","391,523"
2015/04,"1,159,846,410","350,683,007","161,838,223","249,200","166,221,233","260,676"
2015/05,"1,168,345,243","352,889,811","136,730,440","161,630","138,776,171","157,956"
2015/06,"1,186,911,907","355,841,046","136,575,766","309,199","137,780,819","312,341"
2015/07,"1,198,932,657","357,695,385","133,223,192","266,933","133,728,479","265,693"
2015/08,"1,207,568,083","357,728,119","134,082,242","148,550","135,361,174","150,916"
2015/09,"1,199,469,583","358,461,579","149,574,256","338,447","150,962,678","329,051"
2015/10,"1,199,613,595","357,465,461","161,530,872","354,016","163,735,965","352,043"
2015/11,"1,205,982,199","356,167,656","160,170,262","265,954","161,292,753","260,552"
2015/12,"1,202,280,857","357,672,906","147,744,378","187,279","148,725,086","182,156"
2016/01,"1,207,737,440","359,367,759","174,851,934","208,369","177,362,577","196,293"
2016/02,"1,221,724,524","356,005,709","177,604,445","167,912","181,651,998","159,671"
2016/03,"1,237,744,679","354,329,053","232,976,569","297,447","237,380,056","287,383"
2016/04,"1,241,198,646","360,016,402","179,740,975","279,931","183,531,049","269,189"
2016/05,"1,248,686,436","360,147,090","198,761,956","323,738","202,990,353","310,429"
2016/06,"1,247,808,792","362,304,921","267,960,273","384,270","273,188,020","360,781"
2016/07,"1,251,905,212","365,930,923","511,362,808","353,132","519,618,932","339,460"
2016/08,"1,257,990,229","364,989,167","510,564,336","331,496","518,516,542","310,970"
2016/09,"1,242,195,731","364,707,197","301,113,729","242,913","305,180,944","208,391"
2016/10,"1,248,383,516","363,120,153","329,754,542","188,607","332,192,296","180,602"
2016/11,"1,254,551,188","362,599,040","198,451,573","222,282","198,302,073","217,811"
2016/12,"1,236,735,340","361,754,837","113,969,973","220,216","112,055,194","193,028"
2017/01,"1,244,184,025","360,463,973","164,526,131","220,469","161,942,288","214,749"
2017/02,"1,257,240,848","363,608,554","237,222,312","293,628","233,946,514","285,476"
2017/03,"1,259,812,965","364,315,393","286,544,938","367,957","282,652,568","355,323"
2017/04,"1,270,670,025","369,955,215","227,842,067","319,779","225,276,425","303,764"
2017/05,"1,279,053,237","372,769,998","203,716,949","470,570","201,663,915","451,677"
2017/06,"1,276,261,676","375,969,210","241,202,558","355,127","240,384,518","345,294"
2017/07,"1,279,374,245","378,926,729","273,805,684","268,294","273,525,747","261,621"
2017/08,"1,284,185,568","380,469,079","237,433,870","522,946","236,902,592","477,222"
2017/09,"1,272,395,647","383,885,892","199,351,998","309,322","199,290,677","297,080"
2017/10,"1,268,778,825","381,911,847","108,487,896","293,801","107,601,691","286,329"
2017/11,"1,278,949,314","382,697,115","143,616,320","312,987","141,711,795","308,619"
