StatisticalTable,"8.8.2.1 Arbitraged Rates of Major Currencies Against Won, Longer Frequency","8.8.2.1 Arbitraged Rates of Major Currencies Against Won, Longer Frequency","8.8.2.1 Arbitraged Rates of Major Currencies Against Won, Longer Frequency"
ItemNames1,Won per United States Dollar(Basic Exchange Rate),Won per Japanese Yen(100Yen),Won per Euro
ItemNames2,Closing Rate,Closing Rate,Closing Rate
Unit,Won,Won,Won
Conversion,Original Data,Original Data,Original Data
2004/01,"1,173.60","1,107.85","1,456.67"
2004/02,"1,174.50","1,072.46","1,461.02"
2004/03,"1,153.60","1,090.00","1,404.80"
2004/04,"1,167.70","1,062.08","1,396.22"
2004/05,"1,165.70","1,056.17","1,426.70"
2004/06,"1,152.50","1,064.03","1,393.66"
2004/07,"1,168.30","1,041.59","1,405.76"
2004/08,"1,153.80","1,048.48","1,389.81"
2004/09,"1,147.90","1,033.45","1,416.34"
2004/10,"1,126.00","1,059.22","1,434.81"
2004/11,"1,047.90","1,018.32","1,390.77"
2004/12,"1,043.80","1,012.07","1,422.96"
2005/01,"1,026.40",990.06,"1,336.17"
2005/02,"1,008.10",957.59,"1,334.42"
2005/03,"1,024.30",952.53,"1,323.50"
2005/04,"1,002.50",944.73,"1,293.73"
2005/05,"1,002.50",928.37,"1,251.27"
2005/06,"1,024.40",927.27,"1,237.68"
2005/07,"1,028.30",915.79,"1,247.23"
2005/08,"1,031.00",925.62,"1,259.16"
2005/09,"1,038.00",915.87,"1,247.42"
2005/10,"1,042.70",900.39,"1,256.71"
2005/11,"1,036.30",865.35,"1,219.31"
2005/12,"1,013.00",859.9,"1,199.34"
2006/01,971,824.94,"1,173.79"
2006/02,969,833.8,"1,147.88"
2006/03,975.9,831.72,"1,187.13"
2006/04,945.7,828.29,"1,184.91"
2006/05,947.4,842.21,"1,208.03"
2006/06,960.3,834.03,"1,215.93"
2006/07,953.1,830.23,"1,216.39"
2006/08,959.6,820.28,"1,232.27"
2006/09,945.2,802.21,"1,200.64"
2006/10,944.2,803.47,"1,200.79"
2006/11,929.9,798.99,"1,222.96"
2006/12,929.6,781.83,"1,222.24"
2007/01,940.9,773.1,"1,220.07"
2007/02,938.3,793.89,"1,241.89"
2007/03,940.3,797,"1,253.94"
2007/04,929.4,778.33,"1,266.91"
2007/05,929.9,764.75,"1,249.00"
2007/06,926.8,752.43,"1,245.99"
2007/07,923.2,774.56,"1,266.91"
2007/08,939.9,809.91,"1,282.26"
2007/09,920.7,796.73,"1,302.88"
2007/10,907.4,791.11,"1,309.92"
2007/11,929.6,846.51,"1,371.76"
2007/12,938.2,833.33,"1,381.26"
2008/01,943.9,889.09,"1,402.31"
2008/02,937.3,889.7,"1,423.52"
2008/03,991.7,"1,000.20","1,565.00"
2008/04,999.7,961.76,"1,556.23"
2008/05,"1,031.40",977.03,"1,599.60"
2008/06,"1,043.40",981.79,"1,647.06"
2008/07,"1,008.50",932.85,"1,571.04"
2008/08,"1,081.80",987.9,"1,590.25"
2008/09,"1,187.70","1,144.22","1,707.20"
2008/10,"1,291.40","1,306.03","1,664.36"
2008/11,"1,482.70","1,553.79","1,912.61"
2008/12,"1,257.50","1,393.89","1,776.22"
2009/01,"1,368.50","1,520.98","1,768.72"
2009/02,"1,516.40","1,541.14","1,930.07"
2009/03,"1,377.10","1,414.80","1,816.39"
2009/04,"1,348.00","1,382.92","1,786.84"
2009/05,"1,272.90","1,314.10","1,772.70"
2009/06,"1,284.70","1,336.28","1,809.31"
