,article_counts,month
0,5,2004/01
1,1,2004/02
2,0,2004/03
3,12,2004/04
4,8,2004/05
5,13,2004/06
6,5,2004/07
7,8,2004/08
8,7,2004/09
9,9,2004/10
10,10,2004/11
11,4,2004/12
12,4,2005/01
13,13,2005/02
14,10,2005/03
15,5,2005/04
16,22,2005/05
17,11,2005/06
18,13,2005/07
19,6,2005/08
20,4,2005/09
21,6,2005/10
22,4,2005/11
23,3,2005/12
24,10,2006/01
25,1,2006/02
26,1,2006/03
27,3,2006/04
28,5,2006/05
29,8,2006/06
30,27,2006/07
31,2,2006/08
32,2,2006/09
33,47,2006/10
34,21,2006/11
35,2,2006/12
36,7,2007/01
37,7,2007/02
38,13,2007/03
39,5,2007/04
40,4,2007/05
41,7,2007/06
42,12,2007/07
43,7,2007/08
44,6,2007/09
45,18,2007/10
46,10,2007/11
47,18,2007/12
48,8,2008/01
49,14,2008/02
50,5,2008/03
51,7,2008/04
52,4,2008/05
53,3,2008/06
54,8,2008/07
55,4,2008/08
56,19,2008/09
57,15,2008/10
58,9,2008/11
59,3,2008/12
60,11,2009/01
61,6,2009/02
62,17,2009/03
63,28,2009/04
64,18,2009/05
65,36,2009/06
66,10,2009/07
67,50,2009/08
68,17,2009/09
69,8,2009/10
70,8,2009/11
71,15,2009/12
72,15,2010/01
73,11,2010/02
74,11,2010/03
75,19,2010/04
76,37,2010/05
77,22,2010/06
78,9,2010/07
79,26,2010/08
80,22,2010/09
81,21,2010/10
82,30,2010/11
83,19,2010/12
84,8,2011/01
85,11,2011/02
86,6,2011/03
87,10,2011/04
88,6,2011/05
89,2,2011/06
90,3,2011/07
91,12,2011/08
92,11,2011/09
93,14,2011/10
94,3,2011/11
95,107,2011/12
96,32,2012/01
97,26,2012/02
98,20,2012/03
99,17,2012/04
100,4,2012/05
101,6,2012/06
102,14,2012/07
103,10,2012/08
104,4,2012/09
105,5,2012/10
106,2,2012/11
107,14,2012/12
108,10,2013/01
109,8,2013/02
110,14,2013/03
111,13,2013/04
112,10,2013/05
113,6,2013/06
114,3,2013/07
115,0,2013/08
116,3,2013/09
117,6,2013/10
118,1,2013/11
119,18,2013/12
120,4,2014/01
121,1,2014/02
122,3,2014/03
123,3,2014/04
124,4,2014/05
125,6,2014/06
126,5,2014/07
127,2,2014/08
128,2,2014/09
129,5,2014/10
130,4,2014/11
131,12,2014/12
132,10,2015/01
133,7,2015/02
134,3,2015/03
135,4,2015/04
136,5,2015/05
137,2,2015/06
138,0,2015/07
139,10,2015/08
140,0,2015/09
141,5,2015/10
142,4,2015/11
143,4,2015/12
144,10,2016/01
145,3,2016/02
146,4,2016/03
147,5,2016/04
148,11,2016/05
149,2,2016/06
150,4,2016/07
151,11,2016/08
152,18,2016/09
153,6,2016/10
154,0,2016/11
155,1,2016/12
156,2,2017/01
157,5,2017/02
158,9,2017/03
159,16,2017/04
160,6,2017/05
161,2,2017/06
162,3,2017/07
163,6,2017/08
164,13,2017/09
165,12,2017/10
166,6,2017/11
167,3,2017/12
