,article_counts,month
0,0,2004/01
1,0,2004/02
2,0,2004/03
3,0,2004/04
4,0,2004/05
5,0,2004/06
6,0,2004/07
7,0,2004/08
8,0,2004/09
9,0,2004/10
10,0,2004/11
11,0,2004/12
12,0,2005/01
13,3,2005/02
14,0,2005/03
15,0,2005/04
16,1,2005/05
17,0,2005/06
18,0,2005/07
19,0,2005/08
20,0,2005/09
21,0,2005/10
22,0,2005/11
23,0,2005/12
24,0,2006/01
25,0,2006/02
26,1,2006/03
27,0,2006/04
28,0,2006/05
29,0,2006/06
30,0,2006/07
31,0,2006/08
32,0,2006/09
33,1,2006/10
34,0,2006/11
35,0,2006/12
36,0,2007/01
37,0,2007/02
38,0,2007/03
39,0,2007/04
40,0,2007/05
41,1,2007/06
42,0,2007/07
43,0,2007/08
44,1,2007/09
45,0,2007/10
46,0,2007/11
47,1,2007/12
48,0,2008/01
49,0,2008/02
50,0,2008/03
51,0,2008/04
52,2,2008/05
53,0,2008/06
54,0,2008/07
55,0,2008/08
56,2,2008/09
57,0,2008/10
58,0,2008/11
59,0,2008/12
60,1,2009/01
61,1,2009/02
62,3,2009/03
63,2,2009/04
64,8,2009/05
65,17,2009/06
66,3,2009/07
67,2,2009/08
68,3,2009/09
69,1,2009/10
70,0,2009/11
71,0,2009/12
72,2,2010/01
73,1,2010/02
74,2,2010/03
75,5,2010/04
76,9,2010/05
77,7,2010/06
78,1,2010/07
79,12,2010/08
80,14,2010/09
81,14,2010/10
82,11,2010/11
83,7,2010/12
84,5,2011/01
85,4,2011/02
86,2,2011/03
87,2,2011/04
88,2,2011/05
89,0,2011/06
90,1,2011/07
91,1,2011/08
92,0,2011/09
93,3,2011/10
94,0,2011/11
95,55,2011/12
96,22,2012/01
97,18,2012/02
98,22,2012/03
99,24,2012/04
100,5,2012/05
101,5,2012/06
102,21,2012/07
103,18,2012/08
104,5,2012/09
105,5,2012/10
106,9,2012/11
107,31,2012/12
108,22,2013/01
109,19,2013/02
110,47,2013/03
111,66,2013/04
112,18,2013/05
113,15,2013/06
114,10,2013/07
115,5,2013/08
116,14,2013/09
117,6,2013/10
118,6,2013/11
119,34,2013/12
120,27,2014/01
121,16,2014/02
122,9,2014/03
123,11,2014/04
124,7,2014/05
125,9,2014/06
126,11,2014/07
127,6,2014/08
128,6,2014/09
129,25,2014/10
130,19,2014/11
131,72,2014/12
132,30,2015/01
133,15,2015/02
134,5,2015/03
135,15,2015/04
136,19,2015/05
137,6,2015/06
138,4,2015/07
139,27,2015/08
140,4,2015/09
141,10,2015/10
142,3,2015/11
143,10,2015/12
144,33,2016/01
145,16,2016/02
146,18,2016/03
147,14,2016/04
148,31,2016/05
149,20,2016/06
150,11,2016/07
151,37,2016/08
152,76,2016/09
153,15,2016/10
154,8,2016/11
155,7,2016/12
156,16,2017/01
157,42,2017/02
158,44,2017/03
159,54,2017/04
160,51,2017/05
161,20,2017/06
162,35,2017/07
163,118,2017/08
164,124,2017/09
165,51,2017/10
166,62,2017/11
167,41,2017/12
