StatisticalTable,6.1.2 Transactions in Securities and Stock Price Index
ItemNames1,  KOSPI_Index(End Of)
Unit,1980.01.04=100 
Conversion,Original Data
2004/01,848.5
2004/02,883.42
2004/03,880.5
2004/04,862.84
2004/05,803.84
2004/06,785.79
2004/07,735.34
2004/08,803.57
2004/09,835.09
2004/10,834.84
2004/11,878.06
2004/12,895.92
2005/01,932.7
2005/02,"1,011.36"
2005/03,965.68
2005/04,911.3
2005/05,970.21
2005/06,"1,008.16"
2005/07,"1,111.29"
2005/08,"1,083.33"
2005/09,"1,221.01"
2005/10,"1,158.11"
2005/11,"1,297.44"
2005/12,"1,379.37"
2006/01,"1,399.83"
2006/02,"1,371.59"
2006/03,"1,359.60"
2006/04,"1,419.73"
2006/05,"1,317.70"
2006/06,"1,295.15"
2006/07,"1,297.82"
2006/08,"1,352.74"
2006/09,"1,371.41"
2006/10,"1,364.55"
2006/11,"1,432.21"
2006/12,"1,434.46"
2007/01,"1,360.23"
2007/02,"1,417.34"
2007/03,"1,452.55"
2007/04,"1,542.24"
2007/05,"1,700.91"
2007/06,"1,743.60"
2007/07,"1,933.27"
2007/08,"1,873.24"
2007/09,"1,946.48"
2007/10,"2,064.85"
2007/11,"1,906.00"
2007/12,"1,897.13"
2008/01,"1,624.68"
2008/02,"1,711.62"
2008/03,"1,703.99"
2008/04,"1,825.47"
2008/05,"1,852.02"
2008/06,"1,674.92"
2008/07,"1,594.67"
2008/08,"1,474.24"
2008/09,"1,448.06"
2008/10,"1,113.06"
2008/11,"1,076.07"
2008/12,"1,124.47"
2009/01,"1,162.11"
2009/02,"1,063.03"
2009/03,"1,206.26"
2009/04,"1,369.36"
2009/05,"1,395.89"
2009/06,"1,390.07"
2009/07,"1,557.29"
2009/08,"1,591.85"
2009/09,"1,673.14"
2009/10,"1,580.69"
2009/11,"1,555.60"
2009/12,"1,682.77"
2010/01,"1,602.43"
2010/02,"1,594.58"
2010/03,"1,692.85"
2010/04,"1,741.56"
2010/05,"1,641.25"
2010/06,"1,698.29"
2010/07,"1,759.33"
2010/08,"1,742.75"
2010/09,"1,872.81"
2010/10,"1,882.95"
2010/11,"1,904.63"
2010/12,"2,051.00"
2011/01,"2,069.73"
2011/02,"1,939.30"
2011/03,"2,106.70"
2011/04,"2,192.36"
2011/05,"2,142.47"
2011/06,"2,100.69"
2011/07,"2,133.21"
2011/08,"1,880.11"
2011/09,"1,769.65"
2011/10,"1,909.03"
2011/11,"1,847.51"
2011/12,"1,825.74"
2012/01,"1,955.79"
2012/02,"2,030.25"
2012/03,"2,014.04"
2012/04,"1,981.99"
2012/05,"1,843.47"
2012/06,"1,854.01"
2012/07,"1,881.99"
2012/08,"1,905.12"
2012/09,"1,996.21"
2012/10,"1,912.06"
2012/11,"1,932.90"
2012/12,"1,997.05"
2013/01,"1,961.94"
2013/02,"2,026.49"
2013/03,"2,004.89"
2013/04,"1,963.95"
2013/05,"2,001.05"
2013/06,"1,863.32"
2013/07,"1,914.03"
2013/08,"1,926.36"
2013/09,"1,996.96"
2013/10,"2,030.09"
2013/11,"2,044.87"
2013/12,"2,011.34"
2014/01,"1,941.15"
2014/02,"1,979.99"
2014/03,"1,985.61"
2014/04,"1,961.79"
2014/05,"1,994.96"
2014/06,"2,002.21"
2014/07,"2,076.12"
2014/08,"2,068.54"
2014/09,"2,020.09"
2014/10,"1,964.43"
2014/11,"1,980.78"
2014/12,"1,915.59"
2015/01,"1,949.26"
2015/02,"1,985.80"
2015/03,"2,041.03"
2015/04,"2,127.17"
2015/05,"2,114.80"
2015/06,"2,074.20"
2015/07,"2,030.16"
2015/08,"1,941.49"
2015/09,"1,962.81"
2015/10,"2,029.47"
2015/11,"1,991.97"
2015/12,"1,961.31"
2016/01,"1,912.06"
2016/02,"1,916.66"
2016/03,"1,995.85"
2016/04,"1,994.15"
2016/05,"1,983.40"
2016/06,"1,970.35"
2016/07,"2,016.19"
2016/08,"2,034.65"
2016/09,"2,043.63"
2016/10,"2,008.19"
2016/11,"1,983.48"
2016/12,"2,026.46"
2017/01,"2,067.57"
2017/02,"2,091.64"
2017/03,"2,160.23"
2017/04,"2,205.44"
2017/05,"2,347.38"
2017/06,"2,391.79"
2017/07,"2,402.71"
2017/08,"2,363.19"
2017/09,"2,394.47"
2017/10,"2,523.43"
