StatisticalTable,"7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)","7.4.2 Consumer Price Indexes (2015=100) (All Cities, Special Groups)"
ItemNames1,Allitems,Excluding Agricultural products & oils,Excluding Food & Energy,For living necessaries
Unit,2015=100,2015=100,2015=100,2015=100
Weight,1000,901.4,776.7,551.6
Conversion,Original Data,Original Data,Original Data,Original Data
2004/01,75.027,75.598,77.243,73.622
2004/02,75.359,75.665,77.312,74.137
2004/03,76.091,76.48,77.935,75.358
2004/04,76.091,76.548,78.005,75.165
2004/05,76.025,76.684,78.074,75.101
2004/06,76.025,76.82,78.143,75.037
2004/07,76.491,77.023,78.42,75.68
2004/08,77.156,77.226,78.49,76.837
2004/09,77.156,77.362,78.49,76.966
2004/10,77.156,77.431,78.49,77.03
2004/11,76.691,77.295,78.42,76.258
2004/12,76.824,77.498,78.698,76.258
2005/01,77.58,78.056,79.322,77.348
2005/02,77.895,78.213,79.481,77.741
2005/03,78.365,78.607,79.881,78.607
2005/04,78.444,78.607,79.962,78.686
2005/05,78.365,78.685,79.962,78.528
2005/06,78.129,78.607,79.962,78.213
2005/07,78.444,78.607,79.962,78.686
2005/08,78.679,78.685,80.122,79.001
2005/09,79.071,78.763,80.122,79.63
2005/10,78.914,78.763,80.122,79.551
2005/11,78.6,78.763,80.202,78.922
2005/12,78.836,78.921,80.361,79.237
2006/01,79.306,79.078,80.521,79.944
2006/02,79.464,79.235,80.761,80.18
2006/03,79.934,79.707,81.32,80.811
2006/04,80.013,79.785,81.4,80.968
2006/05,80.169,80.1,81.641,80.968
2006/06,80.013,80.1,81.56,80.889
2006/07,80.326,80.257,81.721,81.204
2006/08,80.797,80.336,81.721,81.99
2006/09,81.032,80.336,81.881,82.384
2006/10,80.64,80.336,81.881,81.676
2006/11,80.248,80.414,82.041,80.968
2006/12,80.483,80.572,82.121,81.282
2007/01,80.64,80.728,82.36,81.44
2007/02,81.189,81.043,82.76,82.069
