,article_counts,month
0,5,2004/01
1,1,2004/02
2,8,2004/05
3,13,2004/06
4,5,2004/07
5,8,2004/08
6,7,2004/09
7,9,2004/10
8,10,2004/11
9,4,2004/12
10,4,2005/01
11,13,2005/02
12,22,2005/05
13,11,2005/06
14,13,2005/07
15,6,2005/08
16,4,2005/09
17,6,2005/10
18,4,2005/11
19,3,2005/12
20,10,2006/01
21,1,2006/02
22,5,2006/05
23,8,2006/06
24,27,2006/07
25,2,2006/08
26,2,2006/09
27,47,2006/10
28,21,2006/11
29,2,2006/12
30,7,2007/01
31,7,2007/02
32,4,2007/05
33,7,2007/06
34,12,2007/07
35,7,2007/08
36,6,2007/09
37,18,2007/10
38,10,2007/11
39,18,2007/12
40,8,2008/01
41,14,2008/02
42,4,2008/05
43,3,2008/06
44,8,2008/07
45,4,2008/08
46,19,2008/09
47,15,2008/10
48,9,2008/11
49,3,2008/12
50,11,2009/01
51,6,2009/02
52,18,2009/05
53,36,2009/06
54,10,2009/07
55,50,2009/08
56,17,2009/09
57,8,2009/10
58,8,2009/11
59,15,2009/12
60,15,2010/01
61,11,2010/02
62,37,2010/05
63,22,2010/06
64,9,2010/07
65,26,2010/08
66,22,2010/09
67,21,2010/10
68,30,2010/11
69,19,2010/12
70,8,2011/01
71,11,2011/02
72,6,2011/05
73,2,2011/06
74,3,2011/07
75,12,2011/08
76,11,2011/09
77,14,2011/10
78,3,2011/11
79,107,2011/12
80,32,2012/01
81,26,2012/02
82,4,2012/05
83,6,2012/06
84,14,2012/07
85,10,2012/08
86,4,2012/09
87,5,2012/10
88,2,2012/11
89,14,2012/12
90,10,2013/01
91,8,2013/02
92,10,2013/05
93,6,2013/06
94,3,2013/07
95,0,2013/08
96,3,2013/09
97,6,2013/10
98,1,2013/11
99,18,2013/12
100,4,2014/01
101,1,2014/02
102,4,2014/05
103,6,2014/06
104,5,2014/07
105,2,2014/08
106,2,2014/09
107,5,2014/10
108,4,2014/11
109,12,2014/12
110,10,2015/01
111,7,2015/02
112,5,2015/05
113,2,2015/06
114,0,2015/07
115,10,2015/08
116,0,2015/09
117,5,2015/10
118,4,2015/11
119,4,2015/12
120,10,2016/01
121,3,2016/02
122,11,2016/05
123,2,2016/06
124,4,2016/07
125,11,2016/08
126,18,2016/09
127,6,2016/10
128,0,2016/11
129,1,2016/12
130,2,2017/01
131,5,2017/02
132,6,2017/05
133,2,2017/06
134,3,2017/07
135,6,2017/08
136,13,2017/09
137,12,2017/10
138,6,2017/11
139,3,2017/12
