,article_counts,month
0,10,2004/01
1,11,2004/02
2,7,2004/03
3,7,2004/04
4,6,2004/05
5,3,2004/06
6,1,2004/07
7,4,2004/08
8,15,2004/09
9,9,2004/10
10,5,2004/11
11,5,2004/12
12,1,2005/01
13,8,2005/02
14,0,2005/03
15,4,2005/04
16,10,2005/05
17,4,2005/06
18,6,2005/07
19,3,2005/08
20,1,2005/09
21,5,2005/10
22,3,2005/11
23,0,2005/12
24,2,2006/01
25,1,2006/02
26,4,2006/03
27,5,2006/04
28,5,2006/05
29,32,2006/06
30,77,2006/07
31,10,2006/08
32,7,2006/09
33,74,2006/10
34,12,2006/11
35,4,2006/12
36,3,2007/01
37,9,2007/02
38,4,2007/03
39,5,2007/04
40,8,2007/05
41,9,2007/06
42,2,2007/07
43,0,2007/08
44,8,2007/09
45,8,2007/10
46,6,2007/11
47,6,2007/12
48,2,2008/01
49,3,2008/02
50,4,2008/03
51,1,2008/04
52,3,2008/05
53,2,2008/06
54,6,2008/07
55,6,2008/08
56,3,2008/09
57,7,2008/10
58,6,2008/11
59,3,2008/12
60,2,2009/01
61,18,2009/02
62,33,2009/03
63,50,2009/04
64,35,2009/05
65,41,2009/06
66,19,2009/07
67,14,2009/08
68,24,2009/09
69,10,2009/10
70,4,2009/11
71,5,2009/12
72,5,2010/01
73,4,2010/02
74,8,2010/03
75,12,2010/04
76,8,2010/05
77,3,2010/06
78,6,2010/07
79,4,2010/08
80,4,2010/09
81,2,2010/10
82,15,2010/11
83,17,2010/12
84,11,2011/01
85,2,2011/02
86,4,2011/03
87,0,2011/04
88,2,2011/05
89,4,2011/06
90,1,2011/07
91,6,2011/08
92,3,2011/09
93,4,2011/10
94,5,2011/11
95,11,2011/12
96,6,2012/01
97,1,2012/02
98,24,2012/03
99,32,2012/04
100,17,2012/05
101,7,2012/06
102,8,2012/07
103,9,2012/08
104,7,2012/09
105,10,2012/10
106,3,2012/11
107,33,2012/12
108,18,2013/01
109,24,2013/02
110,34,2013/03
111,51,2013/04
112,13,2013/05
113,14,2013/06
114,10,2013/07
115,4,2013/08
116,15,2013/09
117,10,2013/10
118,9,2013/11
119,12,2013/12
120,5,2014/01
121,9,2014/02
122,13,2014/03
123,14,2014/04
124,3,2014/05
125,6,2014/06
126,12,2014/07
127,9,2014/08
128,3,2014/09
129,12,2014/10
130,7,2014/11
131,9,2014/12
132,8,2015/01
133,6,2015/02
134,6,2015/03
135,8,2015/04
136,13,2015/05
137,7,2015/06
138,2,2015/07
139,6,2015/08
140,3,2015/09
141,3,2015/10
142,4,2015/11
143,7,2015/12
144,18,2016/01
145,32,2016/02
146,25,2016/03
147,20,2016/04
148,22,2016/05
149,8,2016/06
150,15,2016/07
151,74,2016/08
152,163,2016/09
153,31,2016/10
154,6,2016/11
155,10,2016/12
156,13,2017/01
157,43,2017/02
158,72,2017/03
159,96,2017/04
160,67,2017/05
161,39,2017/06
162,73,2017/07
163,135,2017/08
164,104,2017/09
165,34,2017/10
166,81,2017/11
167,108,2017/12
