,article_counts,month
0,0,2004/01
1,0,2004/02
2,0,2004/05
3,0,2004/06
4,0,2004/07
5,0,2004/08
6,0,2004/09
7,0,2004/10
8,0,2004/11
9,0,2004/12
10,0,2005/01
11,0,2005/02
12,0,2005/05
13,0,2005/06
14,0,2005/07
15,0,2005/08
16,0,2005/09
17,0,2005/10
18,0,2005/11
19,0,2005/12
20,0,2006/01
21,0,2006/02
22,0,2006/05
23,0,2006/06
24,0,2006/07
25,0,2006/08
26,0,2006/09
27,0,2006/10
28,0,2006/11
29,1,2006/12
30,0,2007/01
31,0,2007/02
32,0,2007/05
33,0,2007/06
34,0,2007/07
35,0,2007/08
36,0,2007/09
37,0,2007/10
38,0,2007/11
39,0,2007/12
40,0,2008/01
41,0,2008/02
42,0,2008/05
43,0,2008/06
44,0,2008/07
45,0,2008/08
46,0,2008/09
47,0,2008/10
48,0,2008/11
49,0,2008/12
50,0,2009/01
51,0,2009/02
52,0,2009/05
53,0,2009/06
54,0,2009/07
55,0,2009/08
56,0,2009/09
57,0,2009/10
58,0,2009/11
59,0,2009/12
60,0,2010/01
61,0,2010/02
62,0,2010/05
63,0,2010/06
64,0,2010/07
65,0,2010/08
66,0,2010/09
67,0,2010/10
68,0,2010/11
69,0,2010/12
70,0,2011/01
71,0,2011/02
72,0,2011/05
73,0,2011/06
74,0,2011/07
75,0,2011/08
76,0,2011/09
77,0,2011/10
78,0,2011/11
79,0,2011/12
80,0,2012/01
81,0,2012/02
82,0,2012/05
83,0,2012/06
84,0,2012/07
85,0,2012/08
86,0,2012/09
87,0,2012/10
88,0,2012/11
89,0,2012/12
90,0,2013/01
91,0,2013/02
92,0,2013/05
93,0,2013/06
94,0,2013/07
95,0,2013/08
96,0,2013/09
97,0,2013/10
98,0,2013/11
99,0,2013/12
100,0,2014/01
101,0,2014/02
102,0,2014/05
103,0,2014/06
104,0,2014/07
105,0,2014/08
106,0,2014/09
107,0,2014/10
108,0,2014/11
109,0,2014/12
110,0,2015/01
111,0,2015/02
112,0,2015/05
113,0,2015/06
114,0,2015/07
115,0,2015/08
116,0,2015/09
117,0,2015/10
118,0,2015/11
119,0,2015/12
120,3,2016/01
121,8,2016/02
122,0,2016/05
123,1,2016/06
124,6,2016/07
125,21,2016/08
126,30,2016/09
127,7,2016/10
128,0,2016/11
129,2,2016/12
130,1,2017/01
131,8,2017/02
132,22,2017/05
133,10,2017/06
134,4,2017/07
135,8,2017/08
136,8,2017/09
137,1,2017/10
138,2,2017/11
139,7,2017/12
