StatisticalTable,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates,4.1.2 Market Interest Rates
ItemNames1,"    Uncollateralized Call Rates(Overning, Direct Interbank Transactions)",KORIBOR(3M),KORIBOR(6M),KORIBOR(6M),Yields of Treasury Bonds(1-year),Yields of Treasury Bonds(3-year),Yields of Treasury Bonds(5-year),Yields of Treasury Bonds(10-year),Yields of Treasury Bonds(20-year),"Yields of Corporate Bonds : O.T.C (3-year, AA-)","Yields of Corporate Bonds : O.T.C (3-year, BBB-)"
Unit,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum,Percent Per Annum
Conversion,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data,Original Data
1991/01,13.03,,,,,,,,,18.5,
1991/02,13.92,,,,,,,,,18.16,
1991/03,14.39,,,,,,,,,18.51,
1991/04,15.81,,,,,,,,,18.79,
1991/05,18.01,,,,,,,,,18.66,
1991/06,17.73,,,,,,,,,19.07,
1991/07,17.16,,,,,,,,,18.87,
1991/08,17.67,,,,,,,,,18.83,
1991/09,17.69,,,,,,,,,19.5,
1991/10,16.78,,,,,,,,,19.58,
1991/11,16.7,,,,,,,,,19.28,
1991/12,16.34,,,,,,,,,18.98,
1992/01,14.54,,,,,,,,,18.33,
1992/02,14.3,,,,,,,,,17.24,
1992/03,14.93,,,,,,,,,17.7,
1992/04,15,,,,,,,,,17.6,
1992/05,14.95,,,,,,,,,17.13,
1992/06,14.81,,,,,,,,,17.12,
1992/07,14.92,,,,,,,,,16.3,
1992/08,14.97,,,,,,,,,15.82,
1992/09,14.84,,,,,,,,,15.91,
1992/10,11.31,,,,,,,,,14.02,
1992/11,12.8,,,,,,,,,13.39,
1992/12,13,,,,,,,,,14,
1993/01,12,,,,,,,,,13.3,
1993/02,11.01,,,,,,,,,12.53,
1993/03,10.68,,,,,,,,,11.44,
1993/04,10.61,,,,,,,,,11.3,
1993/05,10.99,,,,,,,,,11.51,
1993/06,12.58,,,,,,,,,12.37,
1993/07,12.63,,,,,,,,,12.88,
1993/08,12.84,,,,,,,,,13.81,
1993/09,11.99,,,,,,,,,14.04,
1993/10,11.88,,,,,,,,,13.37,
1993/11,11.31,,,,,,,,,12.83,
1993/12,11.3,,,,,,,,,12.21,
1994/01,10.55,,,,,,,,,12.02,
1994/02,10.84,,,,,,,,,12.07,
1994/03,11.83,,,,,,,,,12.4,
1994/04,11.29,,,,,,,,,12.43,
1994/05,11.49,,,,,,,,,12.33,
1994/06,12.15,,,,,,,,,12.4,
1994/07,11.92,,,,,,,,,12.58,
1994/08,14.52,,,,,,,,,13.29,
1994/09,11.95,,,,,,,,,13.69,
1994/10,11.18,,,,,,,,,13.77,
1994/11,12.14,,,,,,,,,13.81,
1994/12,13.29,,,,,,,,,14.22,
1995/01,15.01,,,,,,,,,14.86,
1995/02,15.1,,,,,,,,,15.34,
1995/03,11.95,,,,,,,,,14.98,
1995/04,12.09,,,,,,,,,14.67,
1995/05,13.16,,,,,14.81,14.2,,,14.9,
1995/06,12.19,,,,,14.58,13.92,,,14.67,
1995/07,11.1,,,,,14.09,13.52,,,14.17,
1995/08,11.19,,,,,13.13,12.7,,,13.22,
1995/09,10.93,,,,,12.82,12.09,,,12.91,
1995/10,10.6,,,,,12.1,11.55,,,12.16,
1995/11,10.83,,,,,11.92,11.36,,,11.99,
1995/12,10.57,,,,,11.63,10.95,,,11.65,
1996/01,10.33,,,,,11.94,11.23,,,12.01,
1996/02,10.52,,,,,12.01,11.4,,,11.88,
1996/03,10.31,,,,,11.92,11.4,,,11.76,
1996/04,9.34,,,,,11.04,10.93,,,10.97,
1996/05,10.98,,,,,11.01,10.91,,,11.03,
1996/06,12.1,,,,,11.51,11.39,,,11.55,
1996/07,12.73,,,,,11.85,11.67,,,11.91,
1996/08,15.09,,,,,12.27,12.08,,,12.34,
1996/09,13.69,,,,,12.19,12.11,,,12.18,
1996/10,13.93,,,,,12.08,11.93,,,12.09,
1996/11,14.02,,,,,12.12,11.93,,,12.17,
1996/12,12.42,,,,,12.19,12.12,,,12.57,
1997/01,11.41,,,,,12.17,12.13,,,12.15,
1997/02,11.28,,,,,12.1,11.98,,,12.17,
1997/03,12.86,,,,,12.32,12.12,,,12.69,
1997/04,12.97,,,,,12.4,12.2,,,12.5,
1997/05,12.48,,,,,12.4,12.2,,,12.21,
1997/06,11.23,,,,,11.72,11.68,,,11.65,
1997/07,11.49,,,,,11.65,11.7,,,11.86,
1997/08,12.51,,,,,11.65,11.7,,,12.11,
1997/09,13.45,,,,,11.65,11.7,,,12.36,
1997/10,13.8,,,,,11.65,11.7,,,12.53,
1997/11,13.55,,,,,12.4,12.23,,,14.08,
1997/12,23,,,,,14.96,14.7,,,24.31,
1998/01,25.31,,,,,15,16.65,,,23.36,
1998/02,22.89,,,,,15,16.6,,,19.78,
1998/03,22.85,,,,,15.09,16.58,,,18.98,
1998/04,20.46,,,,,17.13,16.08,,,18.1,
1998/05,17.3,,,,,16.86,16.06,,,17.89,
1998/06,15.63,,,,,15.04,14.59,,,16.64,
1998/07,12.12,,,,,12.57,12.24,,,13.69,
1998/08,10.39,,,,,11.72,11.59,,,12.38,
1998/09,8.12,,,,,11.84,11.87,,,12.51,
1998/10,6.93,,,,,9.4,9.7,,,10.01,
1998/11,6.95,,,,,8.34,8.7,,,9.6,
