StatisticalTable,6.1.3 Stock Trading by Investor Group,6.1.3 Stock Trading by Investor Group,6.1.3 Stock Trading by Investor Group
ItemNames1,  Institution(Net Purchases),  Individuals(Net Purchases),  Foreigners(Net Purchases)
ItemNames2,Trading Value,Trading Value,Trading Value
Unit,Mil.Won,Mil.Won,Mil.Won
Conversion,Original Data,Original Data,Original Data
2004/01,"-3,012,217","-1,031,728","4,050,322"
2004/02,"-419,295","-950,003","1,371,958"
2004/03,"-2,361,060","-527,931","2,875,973"
2004/04,"-1,016,307","-436,545","1,482,954"
2004/05,"-1,490,263","635,322","847,307"
2004/06,"72,290","-87,483","11,224"
2004/07,"-455,890","-217,308","682,124"
2004/08,"461,559","-1,697,729","1,254,148"
2004/09,"198,285","-974,332","781,209"
2004/10,"1,422,468","150,105","-1,539,080"
2004/11,"1,263,190","-890,908","-330,245"
2004/12,"1,592,346","-584,190","-1,004,022"
2005/01,"98,416","-952,228","858,583"
2005/02,"-892,894","-572,539","1,464,029"
2005/03,"1,692,175","382,032","-2,074,037"
2005/04,"95,310","229,007","-188,762"
2005/05,"1,725,482","-1,830,267","140,170"
2005/06,"1,412,632","-1,457,723","48,489"
2005/07,"301,009","-1,917,053","1,744,748"
2005/08,"1,397,335","-298,499","-1,047,620"
2005/09,"1,744,094","-910,161","-792,018"
2005/10,"1,232,584","1,428,712","-2,648,909"
2005/11,"1,813,022","-1,826,452","40,971"
2005/12,"1,680,899","-351,621","-568,519"
2006/01,"-704,331","-1,418,026","2,144,056"
2006/02,"829,522","-295,807","-525,954"
2006/03,"925,261","-388,993","193,995"
2006/04,"575,248","-1,040,967","465,957"
2006/05,"2,413,216","1,126,551","-3,537,157"
2006/06,"2,370,837","291,355","-2,670,099"
2006/07,"1,546,234","35,486","-1,583,241"
2006/08,"3,156,678","-697,877","-2,447,388"
2006/09,"1,957,990","-399,305","-1,561,478"
2006/10,"1,272,774","-623,669","-645,123"
2006/11,"1,249,074","356,607","-1,599,586"
2006/12,"-1,003,688","-9,589","1,012,557"
2007/01,"-813,389","754,131","50,440"
2007/02,"-383,472","-855,686","1,245,112"
2007/03,"715,067","364,535","-1,083,432"
2007/04,"-2,724,883","11,245","2,741,637"
2007/05,"-911,010","737,465","243,897"
2007/06,"2,917,629","618,424","-3,535,530"
2007/07,"3,356,207","1,475,978","-4,846,176"
2007/08,"7,860,542","857,302","-8,703,662"
2007/09,"2,044,214","-128,533","-1,896,348"
2007/10,"1,262,702","839,215","-81,040"
2007/11,"5,117,106","1,603,328","-6,741,390"
2007/12,"2,298,124","168,404","-2,106,076"
2008/01,"6,772,247","1,753,237","-8,544,839"
2008/02,"1,752,808","255,996","-2,012,036"
2008/03,"2,892,407","157,362","-2,027,528"
2008/04,"2,112,305","-946,183","-1,155,860"
2008/05,"-467,241","-454,380","921,932"
2008/06,"2,945,612","1,822,486","-4,789,591"
2008/07,"4,982,565","-39,110","-4,940,331"
2008/08,"3,033,622","-33,496","-3,005,095"
2008/09,"3,221,832","-552,185","-2,670,229"
2008/10,"2,124,324","2,462,524","-4,603,426"
2008/11,"1,289,158","354,584","-1,654,097"
2008/12,"1,091,756","-1,946,479","877,696"
2009/01,"153,086","-921,797","769,196"
2009/02,"-1,431,214","2,305,934","-861,936"
2009/03,"1,938,140","-1,988,462","1,273,683"
2009/04,"-4,332,629","341,273","4,197,928"
