StatisticalTable,6.1.2 Transactions in Securities and Stock Price Index,6.1.2 Transactions in Securities and Stock Price Index,6.1.2 Transactions in Securities and Stock Price Index,6.1.2 Transactions in Securities and Stock Price Index
ItemNames1,  KOSPI_Market Capitalization,  KOSPI_Trading Volume,  KOSPI_Trading Value,  KOSPI_Index(Avg.)
Unit,Thou.Won,Shares,Thou.Won,1980.01.04=100 
Conversion,Original Data,Original Data,Original Data,Original Data
2004/01,,,,845.53
2004/02,,,,867.45
2004/03,,,,875.58
2004/04,,,,907.14
2004/05,,,,798.79
2004/06,,,,771.61
2004/07,,,,746.07
2004/08,,,,770.31
2004/09,,,,835.92
2004/10,,,,849.11
2004/11,,,,863.1
2004/12,,,,873.06
2005/01,"430,657,652,353","8,288,867,148","48,483,176,454",903.35
2005/02,"469,423,504,319","8,563,857,690","53,308,389,978",964.48
2005/03,"448,728,098,283","13,025,550,679","66,753,354,300",988.23
2005/04,"422,639,998,913","8,541,384,533","42,533,605,100",955.41
2005/05,"450,819,008,939","6,670,695,053","37,402,092,259",938.98
2005/06,"468,409,553,682","8,515,533,976","51,460,531,020",991.34
2005/07,"518,356,763,779","13,622,230,221","72,052,750,135","1,058.71"
2005/08,"505,714,893,698","9,665,785,189","67,375,797,908","1,101.84"
2005/09,"570,574,877,282","9,193,300,255","78,078,722,058","1,171.02"
2005/10,"542,754,770,496","9,704,152,277","75,930,869,557","1,190.86"
2005/11,"608,655,859,088","10,318,911,932","92,365,190,958","1,253.26"
2005/12,"655,074,594,730","10,329,465,137","100,513,386,550","1,338.81"
2006/01,"666,033,273,517","10,209,717,340","121,064,472,914","1,379.32"
2006/02,"666,368,346,785","7,212,316,140","86,292,861,396","1,341.72"
2006/03,"662,902,488,838","7,134,089,015","74,732,141,681","1,331.72"
2006/04,"693,152,402,998","6,887,219,165","82,237,201,194","1,415.92"
2006/05,"642,423,590,049","5,300,468,462","76,289,548,616","1,388.83"
2006/06,"633,158,181,100","4,457,237,502","63,814,999,559","1,249.19"
2006/07,"636,260,933,489","3,763,931,817","51,207,519,116","1,278.00"
2006/08,"664,895,638,667","4,513,439,843","58,971,802,736","1,316.08"
2006/09,"674,270,132,274","5,243,395,864","59,831,662,039","1,356.53"
2006/10,"669,926,046,243","4,807,195,500","55,330,542,213","1,354.04"
2006/11,"703,252,480,620","5,149,555,169","65,667,398,803","1,403.93"
2006/12,"704,587,507,977","4,258,216,949","53,049,400,565","1,418.83"
2007/01,"668,640,361,807","4,240,094,659","56,815,026,104","1,379.25"
2007/02,"696,039,726,469","4,381,106,517","63,719,184,157","1,434.89"
2007/03,"713,293,315,992","5,811,739,412","66,131,937,487","1,431.62"
2007/04,"757,287,335,269","7,849,449,106","93,918,255,868","1,517.12"
2007/05,"835,119,358,767","8,742,764,548","106,275,261,751","1,614.94"
2007/06,"863,539,798,471","10,039,698,736","146,336,028,334","1,754.28"
2007/07,"961,205,968,142","10,323,637,365","160,218,023,967","1,911.56"
2007/08,"932,094,722,942","8,622,321,758","136,168,794,563","1,815.02"
2007/09,"974,020,973,115","6,978,101,739","96,380,573,332","1,879.03"
2007/10,"1,029,274,302,742","9,678,595,810","181,201,217,491","2,004.55"
2007/11,"953,827,057,267","7,386,741,896","160,395,491,617","1,924.84"
2007/12,"951,904,852,428","5,451,822,982","95,317,283,012","1,903.99"
2008/01,"817,429,349,412","6,330,309,883","121,141,300,318","1,732.29"
2008/02,"860,219,016,088","5,773,574,363","84,394,727,985","1,689.53"
2008/03,"861,436,159,118","6,081,649,198","101,193,706,251","1,651.15"
2008/04,"926,729,918,513","6,138,616,838","120,392,205,239","1,776.58"
2008/05,"940,202,137,701","5,927,241,392","113,355,607,955","1,846.75"
2008/06,"850,869,790,645","6,315,615,695","93,315,901,647","1,758.17"
2008/07,"809,816,923,866","6,807,334,522","109,556,727,807","1,569.60"
2008/08,"749,708,047,400","4,787,341,820","76,671,338,357","1,537.55"
2008/09,"736,656,677,138","8,267,208,158","116,677,878,596","1,446.56"
2008/10,"566,438,073,901","10,082,967,809","129,095,012,589","1,201.70"
2008/11,"554,122,785,675","11,203,328,814","111,686,094,007","1,073.95"
